Wavelength[Angstrom];Normalized Flux[Counts]
5216.00;0.900328
5218.00;0.938113
5220.00;0.988233
5222.00;1.010611
5224.00;1.003320
5226.00;0.980530
5228.00;0.967919
5230.00;0.967644
5232.00;0.963425
5234.00;0.962646
5236.00;0.968836
5238.00;0.985940
5240.00;1.003411
5242.00;0.992819
5244.00;0.964709
5246.00;0.942423
5248.00;0.941644
5250.00;0.941231
5252.00;0.949118
5254.00;0.977044
5256.00;1.016113
5258.00;1.014830
5260.00;0.989930
5262.00;0.970808
5264.00;0.969203
5266.00;0.966635
5268.00;0.945037
5270.00;0.926512
5272.00;0.921422
5274.00;0.918441
5276.00;0.919037
5278.00;0.921743
5280.00;0.935728
5282.00;0.965535
5284.00;0.986720
5286.00;0.981813
5288.00;0.949210
5290.00;0.911104
5292.00;0.894046
5294.00;0.883132
5296.00;0.890836
5298.00;0.905418
5300.00;0.917845
5302.00;0.945037
5304.00;0.981722
5306.00;1.019736
5308.00;1.014142
5310.00;1.004237
5312.00;1.018131
5314.00;1.041838
5316.00;1.042343
5318.00;1.029503
5320.00;1.019828
5322.00;1.009418
5324.00;0.981217
5326.00;0.949439
5328.00;0.942332
5330.00;0.969203
5332.00;1.005612
5334.00;1.020103
5336.00;1.008822
5338.00;1.000614
5340.00;1.013912
5342.00;1.037115
5344.00;1.031934
5346.00;0.986307
5348.00;0.939122
5350.00;0.931235
5352.00;0.964526
5354.00;0.987912
5356.00;0.989517
5358.00;0.992727
5360.00;1.010932
5362.00;1.027440
5364.00;1.020103
5366.00;0.995937
5368.00;0.958519
5370.00;0.944120
5372.00;0.957923
5374.00;0.970120
5376.00;0.982318
5378.00;0.995616
5380.00;1.023726
5382.00;1.030420
5384.00;1.016022
5386.00;1.008501
5388.00;1.017031
5390.00;1.026110
5392.00;1.033539
5394.00;1.032117
5396.00;1.021341
5398.00;1.003916
5400.00;0.990709
5402.00;0.998918
5404.00;1.015426
5406.00;1.021937
5408.00;1.024001
5410.00;1.031429
5412.00;1.023542
5414.00;0.999009
5416.00;0.969432
5418.00;0.971221
5420.00;0.991030
5422.00;0.999514
5424.00;0.986445
5426.00;0.967507
5428.00;0.965214
5430.00;0.979016
5432.00;0.985207
5434.00;0.966819
5436.00;0.943616
5438.00;0.933619
5440.00;0.930226
5442.00;0.931922
5444.00;0.938205
5446.00;0.954300
5448.00;0.959115
5450.00;0.961912
5452.00;0.964709
5454.00;0.967644
5456.00;0.970441
5458.00;0.973330
5460.00;0.976127
5462.00;0.978924
5464.00;0.981813
5466.00;0.984611
5468.00;0.987545
5470.00;0.990343
5472.00;0.993140
5474.00;0.996029
5476.00;0.998826
5478.00;1.012307
5480.00;1.026614
5482.00;1.017443
5484.00;1.010519
5486.00;1.022212
5488.00;1.038216
5490.00;1.023129
5492.00;0.987545
5494.00;0.967919
5496.00;0.978603
5498.00;1.002724
5500.00;1.011436
5502.00;0.999514
5504.00;0.985528
5506.00;0.981309
5508.00;0.976540
5510.00;0.986812
5512.00;1.016113
5514.00;1.037436
5516.00;1.038032
5518.00;1.021341
5520.00;1.024505
5522.00;1.035327
5524.00;1.032209
5526.00;1.016113
5528.00;1.000935
5530.00;0.991122
5532.00;0.971725
5534.00;0.938021
5536.00;0.929630
5538.00;0.955813
5540.00;1.004741
5542.00;1.038216
5544.00;1.044727
5546.00;1.026431
5548.00;1.000522
5550.00;0.995020
5552.00;0.976036
5554.00;0.942011
5556.00;0.915002
5558.00;0.934124
5560.00;0.958106
5562.00;0.935224
5564.00;0.918028
5566.00;0.914314
5568.00;0.942102
5570.00;0.948110
5572.00;0.954208
5574.00;0.960215
5576.00;0.966314
5578.00;0.972321
5580.00;0.978420
5582.00;0.984519
5584.00;0.990526
5586.00;0.996625
5588.00;1.007217
5590.00;1.020103
5592.00;1.024230
5594.00;1.029228
5596.00;1.013133
5598.00;1.000614
5600.00;0.989425
5602.00;0.979612
5604.00;0.992131
5606.00;1.008914
5608.00;1.017810
5610.00;0.995524
5612.00;0.983143
5614.00;1.010015
5616.00;1.020240
5618.00;0.998826
5620.00;0.968424
5622.00;0.975440
5624.00;0.995524
5626.00;1.010015
5628.00;1.016343
5630.00;1.023038
5632.00;1.046011
5634.00;1.045828
5636.00;1.009143
5638.00;0.968424
5640.00;0.973605
5642.00;1.003732
5644.00;1.000110
5646.00;0.989013
5648.00;0.993140
5650.00;1.030145
5652.00;1.067105
5654.00;1.068114
5656.00;1.043902
5658.00;1.014325
5660.00;1.015334
5662.00;1.002724
5664.00;0.974339
5666.00;0.962233
5668.00;0.975623
5670.00;0.984519
5672.00;0.983510
5674.00;1.005934
5676.00;1.014738
5678.00;0.993232
5680.00;0.936416
5682.00;0.889231
5684.00;0.883040
5686.00;0.918441
5688.00;0.983739
5690.00;1.031704
5692.00;1.055045
5694.00;1.063620
5696.00;1.062703
5698.00;1.051927
5700.00;1.044406
5702.00;1.053440
5704.00;1.068618
5706.00;1.055503
5708.00;1.017627
5710.00;0.982639
5712.00;0.970212
5714.00;0.961637
5716.00;0.954025
5718.00;0.969432
5720.00;0.990022
5722.00;0.995433
5724.00;0.976036
5726.00;0.965810
5728.00;0.967002
5730.00;0.976036
5732.00;0.989701
5734.00;1.002632
5736.00;0.997634
5738.00;0.963013
5740.00;0.920413
5742.00;0.926833
5744.00;0.961912
5746.00;0.997909
5748.00;1.016618
5750.00;1.028816
5752.00;1.030420
5754.00;1.001027
5756.00;0.985803
5758.00;0.978741
5760.00;0.975118
5762.00;0.968607
5764.00;0.966910
5766.00;0.984519
5768.00;1.007630
5770.00;1.036336
5772.00;1.049313
5774.00;1.040325
5776.00;1.028907
5778.00;1.019736
5780.00;1.001210
5782.00;0.964021
5784.00;0.921926
5786.00;0.923623
5788.00;0.965214
5790.00;1.023726
5792.00;1.067839
5794.00;1.085126
5796.00;1.073204
5798.00;1.033034
5800.00;1.004925
5802.00;0.987041
5804.00;0.976311
5806.00;0.968515
5808.00;0.955309
5810.00;0.952833
5812.00;0.963334
5814.00;0.996625
5816.00;1.021937
5818.00;1.024734
5820.00;1.021616
5822.00;1.019507
5824.00;1.028632
5826.00;1.037941
5828.00;1.035510
5830.00;1.025514
5832.00;1.016022
5834.00;1.011620
5836.00;0.994332
5838.00;0.991214
5840.00;1.005246
5842.00;1.026110
5844.00;1.040004
5846.00;1.042801
5848.00;1.039225
5850.00;1.020240
5852.00;1.008043
5854.00;1.013637
5856.00;1.021433
5858.00;1.005842
5860.00;0.971909
5862.00;0.947926
5864.00;0.966910
5866.00;1.029733
5868.00;1.088611
5870.00;1.114336
5872.00;1.104431
5874.00;1.070819
5876.00;1.026110
5878.00;0.981401
5880.00;0.959940
5882.00;0.960032
5884.00;0.964434
5886.00;0.968836
5888.00;0.973101
5890.00;0.977503
5892.00;0.981905
5894.00;0.986307
5896.00;0.990618
5898.00;0.995020
5900.00;0.999422
5902.00;1.003824
5904.00;1.008731
5906.00;1.018727
5908.00;1.010840
5910.00;1.000018
5912.00;0.983006
5914.00;0.973926
5916.00;0.950127
5918.00;0.919037
5920.00;0.898035
5922.00;0.897301
5924.00;0.903905
5926.00;0.899640
5928.00;0.892945
5930.00;0.915323
5932.00;0.991902
5934.00;1.068022
5936.00;1.082604
5938.00;1.022717
5940.00;0.956914
5942.00;0.937104
5944.00;0.952007
5946.00;0.957831
5948.00;0.963425
5950.00;0.984840
5952.00;1.031704
5954.00;1.069719
5956.00;1.068526
5958.00;1.037803
5960.00;1.001944
5962.00;0.979108
5964.00;0.971129
5966.00;0.963104
5968.00;0.956914
5970.00;0.948201
5972.00;0.939535
5974.00;0.942515
5976.00;0.963838
5978.00;0.986445
5980.00;0.998826
5982.00;1.001027
5984.00;0.999514
5986.00;1.012537
5988.00;1.026339
5990.00;1.019644
5992.00;1.007722
