#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 6288.0358     1.003726e+00
 6292.0800     1.022076e+00
 6296.1242     9.567885e-01
 6300.1684     9.653454e-01
 6304.2125     1.017816e+00
 6308.2567     9.751037e-01
 6312.3009     8.819402e-01
 6316.3451     8.832954e-01
 6320.3892     1.016867e+00
 6324.4334     1.012560e+00
 6328.4776     9.464264e-01
 6332.5218     1.000893e+00
 6336.5660     1.087809e+00
 6340.6101     1.038148e+00
 6344.6543     1.032822e+00
 6348.6985     1.008397e+00
 6352.7427     9.911522e-01
 6356.7868     9.839629e-01
 6360.8310     1.000021e+00
 6364.8752     1.025772e+00
 6368.9194     1.012147e+00
 6372.9636     1.032277e+00
 6377.0077     1.062392e+00
 6381.0519     1.071471e+00
 6385.0961     1.064297e+00
 6389.1403     1.034363e+00
 6393.1844     9.946930e-01
 6397.2286     1.032657e+00
 6401.2728     1.029997e+00
 6405.3170     9.668673e-01
 6409.3612     9.921286e-01
 6413.4053     1.011605e+00
 6417.4495     1.012983e+00
 6421.4937     9.838006e-01
 6425.5379     9.691688e-01
 6429.5820     9.611871e-01
 6433.6262     9.718088e-01
 6437.6704     1.026918e+00
 6441.7146     9.910178e-01
 6445.7588     9.708199e-01
 6449.8029     9.655112e-01
 6453.8471     9.683530e-01
 6457.8913     1.022490e+00
 6461.9355     9.864676e-01
 6465.9796     9.552768e-01
 6470.0238     9.873329e-01
 6474.0680     1.005639e+00
 6478.1122     1.026961e+00
 6482.1564     9.926445e-01
 6486.2005     1.011929e+00
 6490.2447     1.034388e+00
 6494.2889     9.950552e-01
 6498.3331     9.717166e-01
 6502.3773     9.608884e-01
 6506.4214     9.740031e-01
 6510.4656     9.888235e-01
 6514.5098     9.846668e-01
 6518.5540     9.897529e-01
 6522.5981     1.049165e+00
 6526.6423     1.092096e+00
 6530.6865     1.068808e+00
 6534.7307     1.058111e+00
 6538.7749     1.055461e+00
 6542.8190     1.022396e+00
 6546.8632     1.085475e+00
 6550.9074     1.035550e+00
 6554.9516     1.132281e+00
 6558.9957     1.178431e+00
 6563.0399     1.228903e+00
 6567.0841     1.237995e+00
 6571.1283     1.301693e+00
 6575.1725     1.261482e+00
 6579.2166     1.223233e+00
 6583.2608     1.201423e+00
 6587.3050     1.178320e+00
 6591.3492     1.190029e+00
 6595.3933     1.125075e+00
 6599.4375     1.071328e+00
 6603.4817     1.042986e+00
 6607.5259     1.052273e+00
 6611.5701     1.072484e+00
 6615.6142     1.032126e+00
 6619.6584     9.970980e-01
 6623.7026     9.910077e-01
 6627.7468     1.025410e+00
 6631.7909     1.054258e+00
 6635.8351     1.044455e+00
 6639.8793     1.041661e+00
 6643.9235     1.039665e+00
 6647.9677     9.771359e-01
 6652.0118     1.029636e+00
 6656.0560     1.034317e+00
 6660.1002     9.917082e-01
 6664.1444     1.070756e+00
 6668.1885     1.054640e+00
 6672.2327     1.016904e+00
 6676.2769     9.507090e-01
 6680.3211     9.612968e-01
 6684.3653     1.029649e+00
 6688.4094     1.047007e+00
 6692.4536     1.026827e+00
 6696.4978     1.018369e+00
 6700.5420     1.007474e+00
 6704.5862     1.005100e+00
 6708.6303     1.039612e+00
 6712.6745     1.009954e+00
 6716.7187     1.041022e+00
 6720.7629     1.082459e+00
 6724.8070     1.093928e+00
 6728.8512     1.030280e+00
 6732.8954     9.982902e-01
 6736.9396     1.021097e+00
 6740.9838     1.058162e+00
 6745.0279     1.018365e+00
